,Epoch,CLARIFY Train AUROC,CLARIFY Train AP,CLARIFY Test AP,CLARIFY Test ROC,CLARIFY Test AUPRC,CLARIFY Test ACC,CLARIFY Test MCC,CLARIFY test Recall,CLARIFY Test f1-score,CLARIFT Test Precision0.5,Test_Specificity_confusion
38,38,0.761639055,0.723302621,0.684703071,0.725107456,0.684308875,0.680460751,0.446849629,0.975255973,0.753212521,0.61352657,0.38567
39,39,0.76005929,0.721975949,0.681421589,0.722221211,0.681025629,0.683447099,0.449799654,0.972696246,0.75446724,0.616216216,0.3942
40,40,0.759466794,0.721394371,0.680497132,0.721212536,0.68010272,0.683447099,0.449799654,0.972696246,0.75446724,0.616216216,0.3942
41,41,0.76109228,0.722858394,0.684370857,0.72424839,0.683978372,0.683020478,0.451114576,0.975255973,0.754704523,0.615508885,0.39078
42,42,0.763735048,0.725100291,0.689674661,0.728903365,0.689288589,0.689419795,0.454654645,0.965870307,0.756684492,0.621978022,0.41297
43,43,0.765632651,0.726574141,0.692903869,0.732923505,0.692522788,0.691552901,0.457614923,0.965017065,0.757788945,0.62382791,0.41809
44,44,0.767118436,0.727650589,0.695286467,0.736075842,0.694906324,0.692406143,0.450940705,0.953071672,0.756006768,0.626472238,0.43174
45,45,0.768022018,0.728416619,0.69638079,0.737679676,0.695999877,0.691979522,0.448040079,0.949658703,0.755088195,0.626689189,0.4343
46,46,0.76852227,0.72880445,0.696710798,0.738404422,0.696327009,0.692406143,0.448767327,0.949658703,0.755344418,0.627042254,0.43515
47,47,0.768549676,0.728916407,0.696002258,0.737613426,0.695617411,0.69112628,0.447124493,0.950511945,0.754742547,0.625842697,0.43174
48,48,0.768184446,0.728716949,0.694617485,0.735951351,0.6942331,0.687286689,0.439480395,0.948805461,0.752113629,0.622969188,0.42577
49,49,0.767224716,0.72785744,0.692425631,0.733117159,0.692044762,0.690699659,0.456798587,0.965870307,0.757443961,0.623004953,0.41553
50,50,0.766518587,0.727250639,0.690760875,0.73151915,0.690379394,0.691552901,0.456404761,0.96331058,0.757463938,0.624101714,0.4198
51,51,0.766535031,0.72734902,0.690424016,0.731514054,0.690041487,0.691552901,0.456404761,0.96331058,0.757463938,0.624101714,0.4198
52,52,0.767166696,0.72799659,0.69119629,0.732590071,0.690815014,0.69112628,0.455688531,0.96331058,0.757209926,0.623756906,0.41894
53,53,0.768110384,0.728825811,0.692535103,0.734662023,0.69214948,0.690699659,0.454972025,0.96331058,0.756956084,0.623412479,0.41809
54,54,0.768950132,0.729595101,0.693857509,0.736604387,0.693476434,0.689846416,0.455988819,0.966723549,0.7570999,0.622185612,0.41297
55,55,0.769635272,0.730261129,0.694550537,0.737899539,0.694167385,0.689419795,0.451025776,0.960750853,0.755704698,0.622787611,0.41809
56,56,0.770037064,0.730681169,0.69445939,0.73799673,0.694086775,0.688139932,0.448272828,0.959897611,0.754780275,0.621890547,0.41638
57,57,0.770577757,0.73127679,0.694387227,0.738367657,0.69401307,0.688993174,0.450900687,0.961604096,0.755615153,0.622308117,0.41638
58,58,0.771126537,0.731814437,0.694327077,0.738945707,0.693949579,0.687713311,0.452415432,0.966723549,0.755837225,0.620481928,0.4087
59,59,0.772135531,0.732777257,0.695232494,0.740960145,0.694832612,0.690273038,0.449563883,0.956484642,0.755390836,0.624164811,0.42406
60,60,0.773545047,0.733717647,0.697058301,0.743602867,0.696660015,0.691979522,0.448040079,0.949658703,0.755088195,0.626689189,0.4343
61,61,0.774896811,0.734422439,0.69885445,0.746062127,0.698455895,0.694112628,0.443592218,0.936006826,0.753692889,0.630822312,0.45222
62,62,0.776262612,0.73505536,0.700076689,0.748282595,0.699622044,0.698805461,0.457060478,0.945392491,0.758384668,0.633142857,0.45222
63,63,0.777294533,0.735368973,0.700640832,0.750084451,0.700182631,0.704778157,0.469237132,0.948805461,0.762688615,0.637614679,0.46075
64,64,0.778079068,0.735762122,0.700513108,0.75077498,0.700052311,0.704778157,0.471317248,0.95221843,0.763337893,0.636986301,0.45734
65,65,0.778740546,0.736249212,0.700020285,0.750924589,0.699556622,0.706484642,0.473666478,0.951365188,0.76422207,0.63860252,0.4616
66,66,0.779288257,0.736912143,0.698911688,0.75058169,0.698447277,0.705631399,0.474885375,0.955631399,0.764505119,0.6370876,0.45563
67,67,0.779853347,0.737710756,0.697525398,0.750020385,0.697059814,0.704778157,0.475651494,0.959044369,0.76462585,0.635746606,0.45051
68,68,0.781007456,0.739094746,0.696495895,0.750058242,0.696064979,0.706911263,0.468389639,0.94112628,0.762530245,0.64090645,0.4727
